URL,Version,Status,OIDs,Name,Title,Description,Used
http://example.org/fhir/CodeSystem/biliary-anastomosis-type,0.1.0,draft,,BiliaryAnastomosisTypeCS,Type of surgical biliary anastomosis CodeSystem,"Types of biliary anastomosis used in liver transplantation.","ValueSet/biliary-anastomosis-type-vs"
http://example.org/fhir/CodeSystem/biosample-tissue-type,0.1.0,draft,,BioSampleTissueTypeCS,BioSample Tissue Type CodeSystem,"Tissue types for biological samples (from the bio_sample table).","ValueSet/biosample-tissue-type-vs"
http://example.org/fhir/CodeSystem/concomitant-disease-category,0.1.0,draft,,ConcomitantDiseaseCategory,Concomitant Disease Category,"Categories of relevant concomitant diseases.","ValueSet/concomitant-disease-category-vs"
http://example.org/fhir/CodeSystem/concomitant-medication-category,0.1.0,draft,,ConcomitantMedicationCategory,Concomitant Medication Category,"Categories of concomitant medications.","ValueSet/concomitant-medication-category-vs"
http://example.org/fhir/CodeSystem/donor-liver-type,0.1.0,draft,,DonorLiverTypeCS,Donor Liver Type CodeSystem,"Type of liver donation (complete vs partial).","ValueSet/donor-liver-type-vs"
http://example.org/fhir/CodeSystem/donor-pre-ktx-dialysis-type,0.1.0,draft,,DonorPreKtxDialysisTypeCS,Donor Pre-KTX Dialysis Type CodeSystem,"Dialysis type used for the donor prior to kidney transplantation.","ValueSet/donor-pre-ktx-dialysis-type-vs"
http://example.org/fhir/CodeSystem/immunosuppressant-drug-type,0.1.0,draft,,ImmunosuppressantDrugTypeCS,Immunosuppressant Drug Type,"Types of immunosuppressive drugs used in the transplant setting.","ValueSet/immunosuppressant-drug-type-vs"
http://example.org/fhir/CodeSystem/immunosuppressive-induction-dose-unit,0.1.0,draft,,ImmunosuppressiveInductionDoseUnitCS,Immunosuppressant Induction Dose Unit,"Units for immunosuppressant induction dose.","ValueSet/immunosuppressive-induction-dose-unit-vs"
http://example.org/fhir/CodeSystem/immunosuppressive-maintenance-type,0.1.0,draft,,ImmunosuppressiveMaintenanceTypeCS,Immunosuppressive Maintenance to Patient Type CodeSystem,"Type of immunosuppressive maintenance record.","ValueSet/immunosuppressive-maintenance-type-vs"
http://example.org/fhir/CodeSystem/instrumental-investigation-name,0.1.0,draft,,InstrumentalInvestigationNameCS,Instrumental Investigation Name,"Types of instrumental investigation tests conducted.","ValueSet/instrumental-investigation-name-vs"
http://example.org/fhir/CodeSystem/intraoperative-complication,0.1.0,draft,,IntraoperativeComplicationCS,Intraoperative Complications CodeSystem,"Intraoperative complications during liver transplantation.","ValueSet/intraoperative-complication-vs"
http://example.org/fhir/CodeSystem/kidney-side,0.1.0,draft,,KidneySideCS,Kidney Side CodeSystem,"Side of the kidney for nephrectomy / transplant context.","ValueSet/kidney-side-vs"
http://example.org/fhir/CodeSystem/lab-result-unit,0.1.0,draft,,LabResultUnitCS,Lab Result Unit CodeSystem,"Units of measurement used for laboratory results, aligned with the lab_result unit conceptual domain.","ValueSet/lab-result-unit-vs"
http://example.org/fhir/CodeSystem/lab-test-name,0.1.0,draft,,LabTestNameCS,Lab Test Name,"Types of laboratory tests conducted.","ValueSet/lab-test-name-vs"
http://example.org/fhir/CodeSystem/outcome-type-name,0.1.0,draft,,OutcomeTypeNameCS,Outcome Type Name,"Types of clinical outcomes after transplant.","ValueSet/outcome-type-name-vs"
http://example.org/fhir/CodeSystem/patient-abo-group,0.1.0,draft,,PatientABOGroupCS,Patient ABO Group CodeSystem,"ABO blood groups for transplant recipients (maps from OMOP A/B/AB/0).","ValueSet/patient-abo-group-vs"
http://example.org/fhir/CodeSystem/patient-hla-class-i,0.1.0,draft,,PatientHLAClassICS,Patient HLA Class I Loci CodeSystem,"Class I HLA loci relevant to transplant matching.","ValueSet/patient-hla-class-i-vs"
http://example.org/fhir/CodeSystem/patient-hla-class-ii,0.1.0,draft,,PatientHLAClassIICS,Patient HLA Class II Loci CodeSystem,"Class II HLA loci relevant to transplant matching.","ValueSet/patient-hla-class-ii-vs"
http://example.org/fhir/CodeSystem/patient-instrumental-investigation-result,0.1.0,draft,,PatientInstrumentalInvestigationResultCS,Patient Instrumental Investigation Result CodeSystem,"Result of the instrumental investigation test conducted (Normal / Abnormal).","ValueSet/patient-instrumental-investigation-result-vs"
http://example.org/fhir/CodeSystem/patient-rh-factor,0.1.0,draft,,PatientRhFactorCS,Patient Rh Factor CodeSystem,"Rh factor of the transplant recipient (maps from OMOP Positive/Negative).","ValueSet/patient-rh-factor-vs"
http://example.org/fhir/CodeSystem/post-event-type-name,0.1.0,draft,,PostEventTypeNameCS,Post Event Type Name,"Types of post-transplant events.","ValueSet/post-event-type-name-vs"
http://example.org/fhir/CodeSystem/pre-medication-antihypertensive-drug,0.1.0,draft,,PreMedicationAntihypertensiveDrugCS,Pre-medication Antihypertensive Drug CodeSystem,"Antihypertensive drugs used as pre-transplant medication.","ValueSet/pre-medication-antihypertensive-drug-vs"
http://example.org/fhir/CodeSystem/pre-medication-type,0.1.0,draft,,PreMedicationTypeCS,Pre-medication Type CodeSystem,"Type of pre-transplant medication record.","ValueSet/pre-medication-type-vs"
http://example.org/fhir/CodeSystem/reference-genome-build,0.1.0,draft,,ReferenceGenomeBuildCS,Reference Genome Build CodeSystem,"Reference genome build names.","ValueSet/reference-genome-build-vs"
http://example.org/fhir/CodeSystem/transplant-type,0.1.0,draft,,TransplantTypeCS,Transplant Type CodeSystem,"Type of solid-organ transplant (liver, kidney, combined liver-kidney).","ValueSet/transplant-type-vs"
